topic,rank,word,weight,probability
10,3,health,955.2948216300841,0.011826153373101032
10,4,student,944.8019103824005,0.011696255487196343
10,5,use,890.5480275673305,0.011024614937358087
10,6,social,860.7500231773885,0.010655728011407338
10,7,gender,786.1013868882495,0.009731608878905604
10,8,woman,720.4885448350643,0.008919349128515698
10,9,participant,703.0638356226298,0.008703638461021122
10,10,female,692.3465171175392,0.008570962506415503
10,11,among,673.0792562913151,0.00833244181473871
10,12,stress,650.9365851363597,0.008058324736702205
10,13,mental,645.2692098478319,0.007988164983014138
10,14,family,629.7522086414475,0.007796070948793198
10,15,american,618.0143701346468,0.007650761380158408
11,1,student,1377.138574798934,0.021308709746661804
11,2,problem,1111.1958027486376,0.01719373000348687
11,3,identity,861.3221891769269,0.013327391203321822
11,4,knowledge,825.5064887950468,0.012773208510470948
11,5,process,794.3423439141301,0.012291000161999317
11,6,think,788.477559633825,0.01220025331324878
11,7,understand,629.3724415435454,0.009738391564085945
11,8,researcher,592.6133051226826,0.009169610917850348
11,9,critical,577.0079937305858,0.008928147163188608
11,10,solv,573.6550895377461,0.008876267081139482
11,11,theory,566.3715720761825,0.008763567921909365
11,12,concept,518.4074326422425,0.008021410274052128
11,13,leadership,514.5803660876655,0.007962193393568955
11,14,practice,473.98387571501434,0.007334036688126094
11,15,community,463.81583800865945,0.0071767048348596475
12,1,feedback,1301.0530599015942,0.048139707357745046
12,2,peer,885.8442473537805,0.03277674381349084
12,3,review,669.5206634673838,0.024772647482740582
12,4,journal,405.06891789488475,0.014987781642551221
12,5,publication,353.06666598045507,0.013063668578865928
12,6,teacher,324.7914880032895,0.012017470821633904
12,7,intervention,256.8491739700859,0.009503566342585356
12,8,publish,253.5959180818153,0.009383194014009418
12,9,search,244.67137014808634,0.00905298063603821
12,10,literature,242.5646063809515,0.008975029171684063
12,11,author,241.3414331888181,0.008929771063977377
12,12,use,223.2591358142544,0.008260715718891715
12,13,phd,198.95872318359034,0.007361586552859779
12,14,provide,195.37020897326798,0.007228809474615872
12,15,information,178.92265006294917,0.006620240387701072
13,1,model,1804.9366262521128,0.023020025967519554
13,2,use,1632.1286363642976,0.020816045862759515
13,3,item,1405.1082523905463,0.017920644961574608
13,4,test,1268.914785380828,0.01618364372753111
13,5,factor,1214.7912699943352,0.01549335648335366
13,6,evaluation,1091.0970090312671,0.013915769183064019
13,7,measure,1006.7719581812757,0.012840293827283815
13,8,data,929.6890580772326,0.011857184317377437
13,9,scale,862.2797779793411,0.01099745142939929
13,10,validity,764.0666660427266,0.009744848787152297
13,11,instrument,728.1283004529855,0.009286493575632259
13,12,effect,545.2352724745876,0.006953889653641193
13,13,method,537.4328600119157,0.006854378271974036
13,14,researcher,525.0726623584364,0.006696737240810748
13,15,reliability,515.0666661182745,0.006569121517394619
14,1,resident,1955.213509396067,0.030237509558250306
14,2,score,979.1290795011736,0.015142297635475368
14,3,sic,955.0666666076937,0.014770170787760458
14,4,medical,952.5719079755355,0.014731589176277675
14,5,program,922.5249733615022,0.014266911294183567
14,6,training,842.9508517066444,0.013036292104736912
14,7,surgery,788.0666663904309,0.01218750445565382
14,8,residency,674.899188186023,0.010437361728302353
14,9,surgical,563.0666663398338,0.008707864191589913
14,10,use,549.4208438211728,0.008496830620649801
14,11,test,546.7230190600486,0.008455108577707201
14,12,ability,497.69657200604286,0.007696911248219409
14,13,year,452.5554529952994,0.006998800780488914
14,14,rate,438.6111350304205,0.006783150957224066
14,15,director,402.0947320532008,0.006218422308025207
15,1,student,2697.1215259255437,0.020532458177778136
15,2,international,2317.619979171858,0.01764341533628132
15,3,chinese,1868.9995880804036,0.014228189389195817
15,4,academic,1398.3974847567106,0.010645622600125262
15,5,cultural,1259.4364905712357,0.009587750059333232
15,6,china,1250.2985867123386,0.009518185663731525
15,7,policy,1163.8248179450743,0.008859884202851142
15,8,country,926.6261107324183,0.007054154468817145
15,9,experience,900.9000389429192,0.0068583088281891635
15,10,social,872.3512601852734,0.006640974681309426
15,11,context,866.0550284178447,0.0065930431683243135
15,12,global,787.43600550229,0.005994537767483146
15,13,institution,754.0676195386183,0.005740513251838105
15,14,challeng,725.740550004392,0.005524866917433161
15,15,development,654.2861037717674,0.004980903505037719
